abbr,Divorce_ratio,year
AK         ,0.428571428571,2009
AL        ,0.742899850523,2009
AR       ,0.50572519084,2009
AZ        ,0.526766595289,2009
CA     ,0.472814180442,2009
CO       ,0.42989571263,2009
CT    ,0.485355648536,2009
DC      ,0.303921568627,2009
DE       ,0.429577464789,2009
FL        ,0.562162162162,2009
GA        ,0.55268389662,2009
HI         ,0.329268292683,2009
IA,0.506082725061,2009
ID          ,0.388059701493,2009
IL       ,0.5,2009
IN        ,0.553590010406,2009
KS         ,0.493181818182,2009
KY       ,0.60530191458,2009
LA      ,0.544141252006,2009
MA  ,0.490396927017,2009
MD       ,0.492462311558,2009
ME          ,0.822695035461,2009
MI       ,0.607020547945,2009
MN      ,0.552158273381,2009
MO       ,0.545667447307,2009
MS    ,0.580335731415,2009
MT        ,0.377049180328,2009
NC ,0.50394265233,2009
ND   ,0.426966292135,2009
NE       ,0.572052401747,2009
NH  ,0.509677419355,2009
NJ     ,0.451859956236,2009
NM     ,0.554744525547,2009
NV         ,0.497899159664,2009
NY       ,0.460548885077,2009
OH,0.598611111111,2009
OK       ,0.600665557404,2009
OR         ,0.571428571429,2009
PA   ,0.498655913978,2009
RI   ,0.677966101695,2009
SC ,0.482484076433,2009
SD   ,0.413461538462,2009
TN      ,0.57264957265,2009
TX          ,0.517446578307,2009
UT,0.411363636364,2009
VA       ,0.493322203673,2009
VT        ,0.621951219512,2009
WA     ,0.519230769231,2009
WI      ,0.58615136876,2009
WV  ,0.536332179931,2009
WY        ,0.457943925234,2009
