abbr,Divorce_ratio,year
AK         ,0.481818181818,2011
AL        ,0.672413793103,2011
AR       ,0.619512195122,2011
AZ        ,0.559340659341,2011
CA     ,0.501080847384,2011
CO       ,0.494382022472,2011
CT    ,0.626702997275,2011
DC      ,0.415094339623,2011
DE       ,0.441666666667,2011
FL        ,0.658740642889,2011
GA        ,0.578043315907,2011
HI         ,0.269709543568,2011
IA,0.54415274463,2011
ID          ,0.511111111111,2011
IL       ,0.537293729373,2011
IN        ,0.605319148936,2011
KS         ,0.577395577396,2011
KY       ,0.680628272251,2011
LA      ,0.659259259259,2011
MA  ,0.461636828645,2011
MD       ,0.606676342525,2011
ME          ,0.694915254237,2011
MI       ,0.677876106195,2011
MN      ,0.537234042553,2011
MO       ,0.625463535229,2011
MS    ,0.60794044665,2011
MT        ,0.734513274336,2011
NC ,0.530734632684,2011
ND   ,0.371134020619,2011
NE       ,0.546184738956,2011
NH  ,0.608695652174,2011
NJ     ,0.496311907271,2011
NM     ,0.644444444444,2011
NV         ,0.633333333333,2011
NY       ,0.504702194357,2011
OH,0.548780487805,2011
OK       ,0.6,2011
OR         ,0.578313253012,2011
PA   ,0.49964054637,2011
RI   ,0.661016949153,2011
SC ,0.506309148265,2011
SD   ,0.765957446809,2011
TN      ,0.632158590308,2011
TX          ,0.554257095159,2011
UT,0.400414937759,2011
VA       ,0.552919708029,2011
VT        ,0.464646464646,2011
WA     ,0.622543950362,2011
WI      ,0.526397515528,2011
WV  ,0.604395604396,2011
WY        ,0.45871559633,2011
